,order_item_count,total_freight_value,total_item_price,average_item_price,order_revenue,payment_record_count,review_score,review_count,delivery_days,delivery_delay_days,approval_delay_hours
order_item_count,1.0,0.3769456357559615,0.17671718587462076,-0.0992544969966023,0.22144393834358983,-0.0036923565163832607,-0.10294702174906217,0.00981033812151253,-0.025215084641907887,-0.037379626626761676,0.020091853697339117
total_freight_value,0.3769456357559615,1.0,0.46903987107564693,0.36406369289847407,0.5663790349759229,0.0072639216963093535,-0.08677764343386465,-0.0019444038590600587,0.38145930994596094,-0.15520453334846657,0.03377048160798909
total_item_price,0.17671718587462076,0.46903987107564693,1.0,0.9541427293919796,0.9897214176736263,-0.010152363046411893,-0.032324193183160536,-0.012962395315317222,0.1016366092774443,-0.0435946325658652,-0.0036172345725486153
average_item_price,-0.0992544969966023,0.36406369289847407,0.9541427293919796,1.0,0.9304901203918902,-0.009033377757793705,-0.0031077522434697674,-0.015960696977194325,0.10950931290676652,-0.033434477294333825,-0.010443889054885245
order_revenue,0.22144393834358983,0.5663790349759229,0.9897214176736263,0.9304901203918902,1.0,-0.007684046592589696,-0.042685080041567604,-0.012717975999779578,0.1425789662407228,-0.060003190499009484,0.0016536973408052904
payment_record_count,-0.0036923565163832607,0.0072639216963093535,-0.010152363046411893,-0.009033377757793705,-0.007684046592589696,1.0,-0.004905803957750026,-0.00012056525351428507,0.008027946481565887,-0.01059904946692289,-0.042471367185222125
review_score,-0.10294702174906217,-0.08677764343386465,-0.032324193183160536,-0.0031077522434697674,-0.042685080041567604,-0.004905803957750026,1.0,-0.012226431383816617,-0.23484879442055714,-0.17557025450037278,-0.00782649883228517
review_count,0.00981033812151253,-0.0019444038590600587,-0.012962395315317222,-0.015960696977194325,-0.012717975999779578,-0.00012056525351428507,-0.012226431383816617,1.0,0.014458205631377112,-0.004439770630834167,0.0012272855004474082
delivery_days,-0.025215084641907887,0.38145930994596094,0.1016366092774443,0.10950931290676652,0.1425789662407228,0.008027946481565887,-0.23484879442055714,0.014458205631377112,1.0,0.31119104638660167,0.08811688305316769
delivery_delay_days,-0.037379626626761676,-0.15520453334846657,-0.0435946325658652,-0.033434477294333825,-0.060003190499009484,-0.01059904946692289,-0.17557025450037278,-0.004439770630834167,0.31119104638660167,1.0,0.06010182944901566
approval_delay_hours,0.020091853697339117,0.03377048160798909,-0.0036172345725486153,-0.010443889054885245,0.0016536973408052904,-0.042471367185222125,-0.00782649883228517,0.0012272855004474082,0.08811688305316769,0.06010182944901566,1.0
