order_date,order_month,total_orders,total_customers,daily_revenue,delivered_revenue,avg_order_value,updated_at
2018-09-03,2018-09,1,1,166.46,0.0,166.46,2026-09-04 08:29:42
2018-08-29,2018-08,11,11,1762.7,1762.7,160.25,2026-09-04 08:29:42
2018-08-28,2018-08,39,39,4121.23,4121.23,105.67,2026-09-04 08:29:42
2018-08-27,2018-08,66,66,6111.6,6111.6,92.6,2026-09-04 08:29:42
2018-08-26,2018-08,73,73,9304.0,9304.0,127.45,2026-09-04 08:29:42
2018-08-25,2018-08,69,69,11737.76,11737.76,170.11,2026-09-04 08:29:42
2018-08-24,2018-08,97,97,11252.09,11085.63,116.0,2026-09-04 08:29:42
2018-08-23,2018-08,142,142,19522.58,19522.58,137.48,2026-09-04 08:29:42
2018-08-22,2018-08,186,186,24262.62,24203.63,130.44,2026-09-04 08:29:42
2018-08-21,2018-08,240,240,31099.42,30773.18,129.58,2026-09-04 08:29:42
2018-08-20,2018-08,252,252,39830.07,39054.09,158.06,2026-09-04 08:29:42
2018-08-19,2018-08,204,204,29989.35,29989.35,147.01,2026-09-04 08:29:42
2018-08-18,2018-08,196,196,28698.1,28475.76,146.42,2026-09-04 08:29:42
2018-08-17,2018-08,254,254,37584.04,36948.84,147.97,2026-09-04 08:29:42
2018-08-16,2018-08,316,316,41699.15,41699.15,131.96,2026-09-04 08:29:42
2018-08-15,2018-08,283,283,52134.86,52083.74,184.22,2026-09-04 08:29:42
2018-08-14,2018-08,312,312,51280.38,51138.46,164.36,2026-09-04 08:29:42
2018-08-13,2018-08,287,287,45811.26,45431.38,159.62,2026-09-04 08:29:42
2018-08-12,2018-08,197,197,36739.75,34260.37,186.5,2026-09-04 08:29:42
2018-08-11,2018-08,188,188,31277.25,30511.58,166.37,2026-09-04 08:29:42
2018-08-10,2018-08,253,253,39513.51,38934.43,156.18,2026-09-04 08:29:42
2018-08-09,2018-08,283,283,46685.51,46246.05,164.97,2026-09-04 08:29:42
2018-08-08,2018-08,314,314,50832.62,50376.96,161.89,2026-09-04 08:29:42
2018-08-07,2018-08,361,361,57325.15,55643.03,158.8,2026-09-04 08:29:42
2018-08-06,2018-08,368,368,63129.9,62728.23,171.55,2026-09-04 08:29:42
2018-08-05,2018-08,274,274,42079.35,41282.34,153.57,2026-09-04 08:29:42
2018-08-04,2018-08,242,242,41075.44,40250.11,169.73,2026-09-04 08:29:42
2018-08-03,2018-08,312,312,49209.13,48819.75,157.72,2026-09-04 08:29:42
2018-08-02,2018-08,300,300,45733.29,44852.24,152.44,2026-09-04 08:29:42
2018-08-01,2018-08,309,309,48702.04,48066.11,157.61,2026-09-04 08:29:42
2018-07-31,2018-07,318,318,54320.11,52768.27,170.82,2026-09-04 08:29:42
2018-07-30,2018-07,284,284,44934.72,44165.92,158.22,2026-09-04 08:29:42
2018-07-29,2018-07,184,184,34476.09,34233.31,187.37,2026-09-04 08:29:42
2018-07-28,2018-07,176,176,30168.17,29350.49,171.41,2026-09-04 08:29:42
2018-07-27,2018-07,189,189,33331.12,33017.33,176.36,2026-09-04 08:29:42
2018-07-26,2018-07,245,245,41323.11,41183.98,168.67,2026-09-04 08:29:42
2018-07-25,2018-07,267,267,47830.81,47599.78,179.14,2026-09-04 08:29:42
2018-07-24,2018-07,271,271,48154.03,46345.99,177.69,2026-09-04 08:29:42
2018-07-23,2018-07,306,306,48019.53,47195.4,156.93,2026-09-04 08:29:42
2018-07-22,2018-07,214,214,31012.06,30939.74,144.92,2026-09-04 08:29:42
2018-07-21,2018-07,185,185,25194.23,25130.58,136.19,2026-09-04 08:29:42
2018-07-20,2018-07,248,248,37974.78,37905.62,153.12,2026-09-04 08:29:42
2018-07-19,2018-07,253,253,44911.25,44557.39,177.51,2026-09-04 08:29:42
2018-07-18,2018-07,306,306,51218.85,48588.05,167.38,2026-09-04 08:29:42
2018-07-17,2018-07,219,219,35030.38,34775.6,159.96,2026-09-04 08:29:42
2018-07-16,2018-07,243,243,37548.12,36329.5,154.52,2026-09-04 08:29:42
2018-07-15,2018-07,151,151,34432.93,33876.6,228.03,2026-09-04 08:29:42
2018-07-14,2018-07,146,146,26194.27,25593.41,179.41,2026-09-04 08:29:42
2018-07-13,2018-07,168,168,32635.24,32529.39,194.26,2026-09-04 08:29:42
2018-07-12,2018-07,121,121,25609.82,22767.58,211.65,2026-09-04 08:29:42
2018-07-11,2018-07,126,126,22036.66,21286.74,174.89,2026-09-04 08:29:42
2018-07-10,2018-07,134,134,22694.45,21572.53,169.36,2026-09-04 08:29:42
2018-07-09,2018-07,148,148,23122.17,22894.0,156.23,2026-09-04 08:29:42
2018-07-08,2018-07,120,120,17294.26,17107.22,144.12,2026-09-04 08:29:42
2018-07-07,2018-07,91,91,11277.24,10942.08,123.93,2026-09-04 08:29:42
2018-07-06,2018-07,121,121,22108.67,21828.25,182.72,2026-09-04 08:29:42
2018-07-05,2018-07,194,194,33715.63,33574.05,173.79,2026-09-04 08:29:42
2018-07-04,2018-07,254,254,41318.53,41009.49,162.67,2026-09-04 08:29:42
2018-07-03,2018-07,215,215,31361.38,31209.77,145.87,2026-09-04 08:29:42
2018-07-02,2018-07,193,193,29113.41,29113.41,150.85,2026-09-04 08:29:42
2018-07-01,2018-07,161,161,29060.7,28512.39,180.5,2026-09-04 08:29:42
2018-06-30,2018-06,124,124,18621.71,18502.51,150.18,2026-09-04 08:29:42
2018-06-29,2018-06,173,173,25048.66,24857.31,144.79,2026-09-04 08:29:42
2018-06-28,2018-06,242,242,38740.94,37182.97,160.09,2026-09-04 08:29:42
2018-06-27,2018-06,215,215,32920.9,32505.93,153.12,2026-09-04 08:29:42
2018-06-26,2018-06,241,241,37302.01,36999.52,154.78,2026-09-04 08:29:42
2018-06-25,2018-06,240,240,41871.4,41024.31,174.46,2026-09-04 08:29:42
2018-06-24,2018-06,198,198,29291.59,29291.59,147.94,2026-09-04 08:29:42
2018-06-23,2018-06,150,150,21101.59,21043.65,140.68,2026-09-04 08:29:42
2018-06-22,2018-06,179,179,28753.15,28484.57,160.63,2026-09-04 08:29:42
2018-06-21,2018-06,234,234,33301.99,33152.97,142.32,2026-09-04 08:29:42
2018-06-20,2018-06,216,216,34251.5,34251.5,158.57,2026-09-04 08:29:42
2018-06-19,2018-06,229,229,39826.33,39427.64,173.91,2026-09-04 08:29:42
2018-06-18,2018-06,245,245,40737.48,39773.01,166.28,2026-09-04 08:29:42
2018-06-17,2018-06,152,152,20751.52,20657.67,136.52,2026-09-04 08:29:42
2018-06-16,2018-06,165,165,29000.08,28607.93,175.76,2026-09-04 08:29:42
2018-06-15,2018-06,185,185,31285.71,31134.14,169.11,2026-09-04 08:29:42
2018-06-14,2018-06,212,212,32707.21,32553.16,154.28,2026-09-04 08:29:42
2018-06-13,2018-06,258,258,41092.34,40557.07,159.27,2026-09-04 08:29:42
2018-06-12,2018-06,246,246,46762.43,46630.26,190.09,2026-09-04 08:29:42
2018-06-11,2018-06,294,294,57345.56,57345.56,195.05,2026-09-04 08:29:42
2018-06-10,2018-06,191,191,30140.75,30124.46,157.8,2026-09-04 08:29:42
2018-06-09,2018-06,172,172,34033.78,33831.91,197.87,2026-09-04 08:29:42
2018-06-08,2018-06,198,198,31797.2,31031.82,160.59,2026-09-04 08:29:42
2018-06-07,2018-06,223,223,42676.38,42676.38,191.37,2026-09-04 08:29:42
2018-06-06,2018-06,227,227,32176.98,32176.98,141.75,2026-09-04 08:29:42
2018-06-05,2018-06,197,197,36105.95,35869.16,183.28,2026-09-04 08:29:42
2018-06-04,2018-06,225,225,34326.4,33866.17,152.56,2026-09-04 08:29:42
2018-06-03,2018-06,192,192,33024.44,32375.81,172.0,2026-09-04 08:29:42
2018-06-02,2018-06,142,142,28939.99,28870.67,203.8,2026-09-04 08:29:42
2018-06-01,2018-06,184,184,37284.05,37284.05,202.63,2026-09-04 08:29:42
2018-05-31,2018-05,133,133,28156.52,27373.26,211.7,2026-09-04 08:29:42
2018-05-30,2018-05,140,140,22529.07,22279.17,160.92,2026-09-04 08:29:42
2018-05-29,2018-05,149,149,29441.33,29441.33,197.59,2026-09-04 08:29:42
2018-05-28,2018-05,142,142,30114.99,30114.99,212.08,2026-09-04 08:29:42
2018-05-27,2018-05,100,100,14693.68,14693.68,146.94,2026-09-04 08:29:42
2018-05-26,2018-05,99,99,16914.09,16914.09,170.85,2026-09-04 08:29:42
2018-05-25,2018-05,104,104,18286.32,18137.37,175.83,2026-09-04 08:29:42
2018-05-24,2018-05,114,114,22278.7,22210.47,195.43,2026-09-04 08:29:42
2018-05-23,2018-05,132,132,20262.3,20262.3,153.5,2026-09-04 08:29:42
2018-05-22,2018-05,197,197,31761.32,31382.42,161.22,2026-09-04 08:29:42
2018-05-21,2018-05,203,203,30400.68,28743.66,149.76,2026-09-04 08:29:42
2018-05-20,2018-05,160,160,23016.98,22624.45,143.86,2026-09-04 08:29:42
2018-05-19,2018-05,138,138,28191.23,28140.17,204.28,2026-09-04 08:29:42
2018-05-18,2018-05,236,236,36429.77,35661.17,154.36,2026-09-04 08:29:42
