purchase_hour,order_count,successful_orders,failed_orders,revenue,success_rate,failure_rate,period,scope
8.0,6,5.0,1.0,958.16,0.8333333333333334,0.16666666666666666,other_hour,problem_date
13.0,7,6.0,1.0,1137.3999999999999,0.8571428571428571,0.14285714285714285,other_hour,problem_date
21.0,8,7.0,1.0,815.03,0.875,0.125,other_hour,problem_date
12.0,10,8.0,1.0,1346.23,0.8,0.1,other_hour,problem_date
16.0,12,10.0,1.0,1879.73,0.8333333333333334,0.08333333333333333,other_hour,problem_date
19.0,14,11.0,1.0,2410.69,0.7857142857142857,0.07142857142857142,other_hour,problem_date
14.0,15,14.0,0.0,5248.83,0.9333333333333333,0.0,problem_hour,problem_date
15.0,12,11.0,0.0,1565.47,0.9166666666666666,0.0,other_hour,problem_date
10.0,11,11.0,0.0,1238.32,1.0,0.0,other_hour,problem_date
18.0,9,9.0,0.0,943.22,1.0,0.0,other_hour,problem_date
9.0,8,7.0,0.0,2339.76,0.875,0.0,other_hour,problem_date
20.0,8,8.0,0.0,1556.52,1.0,0.0,other_hour,problem_date
22.0,8,8.0,0.0,912.41,1.0,0.0,other_hour,problem_date
17.0,7,6.0,0.0,1203.18,0.8571428571428571,0.0,other_hour,problem_date
11.0,6,6.0,0.0,920.64,1.0,0.0,other_hour,problem_date
0.0,4,4.0,0.0,921.8000000000001,1.0,0.0,other_hour,problem_date
1.0,3,3.0,0.0,593.05,1.0,0.0,other_hour,problem_date
23.0,3,3.0,0.0,250.35999999999999,1.0,0.0,other_hour,problem_date
2.0,1,1.0,0.0,183.84,1.0,0.0,other_hour,problem_date
4.0,1,1.0,0.0,90.81,1.0,0.0,other_hour,problem_date
7.0,1,1.0,0.0,40.620000000000005,1.0,0.0,other_hour,problem_date
,58,,,,0.9137931034482759,0.05172413793103448,before_problem_hour,before_during_after
,15,,,,0.9333333333333333,0.0,problem_hour,before_during_after
,81,,,,0.9012345679012346,0.037037037037037035,after_problem_hour,before_during_after
