seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_item_price,total_freight,avg_seller_review
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,sp,1124,1148,226987.93,197.72,20019.13,4.14
53243585a1d6dc2643021fd1853d8905,lauro de freitas,ba,348,400,217940.44,544.85,12856.58,4.13
4a3ca9315b744ce9f8e9374361493884,ibitinga,sp,1772,1949,196882.12,101.02,34338.31,3.83
fa1c13f2614d7b5c4749cbc52fecda94,sumare,sp,578,579,190917.14,329.74,9916.36,4.37
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,sp,973,1355,186570.05,137.69,51236.64,3.35
7e93a43ef30c4f03f38b393420bc753a,barueri,sp,318,321,164582.49,512.72,5967.51,4.36
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,sp,1311,1548,159816.87,103.24,24889.91,4.07
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,sp,1145,1155,139658.69,120.92,20619.83,4.27
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,sp,910,1420,138208.56,97.33,33716.4,3.87
955fee9216a65b617aa5c0531780ce60,sao paulo,sp,1261,1472,131836.71,89.56,24769.77,4.09
6560211a19b47992c3666cc44a7e94c0,sao paulo,sp,1819,1996,120702.83,60.47,27348.11,3.95
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,rj,494,513,120566.48,235.02,11169.49,4.28
7d13fca15225358621be4086e1eb0964,ribeirao preto,sp,558,571,112436.18,196.91,8498.29,4.02
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara doeste,sp,322,343,111126.73,323.98,13576.19,4.02
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,rj,699,754,107573.9,142.67,13394.53,4.25
1f50f920176fa81dab994f9023523100,sao jose do rio preto,sp,1399,1926,106655.71,55.38,35057.23,3.99
cc419e0650a3c5ba77189a1882b7556a,santo andre,sp,1651,1719,101090.96,58.81,24846.03,4.14
a1043bafd471dff536d0c462352beb48,ilicinea,mg,702,752,99309.23,132.06,31103.51,4.25
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,sp,1064,1131,93407.4,82.59,22108.25,4.15
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,rj,165,174,79144.9,454.86,3886.24,4.45
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,pr,184,189,72926.72,385.86,5174.62,4.32
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,sp,218,229,68070.0,297.25,4317.94,4.22
fe2032dab1a61af8794248c8196565c9,campinas,sp,293,305,65689.71,215.38,4710.89,4.4
8581055ce74af1daba164fdbd55a40de,guarulhos,sp,380,427,64011.22,149.91,9462.76,4.27
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,sp,691,804,62081.46,77.22,13952.22,3.88
04308b1ee57b6625f47df1d56f00eedf,bombinhas,sc,92,92,58991.8,641.22,2948.82,3.95
522620dcb18a6b31cd7bdf73665113a9,cascavel,pr,169,175,55981.69,319.9,4519.65,3.91
de722cd6dad950a92b7d4f82673f8833,recife,pe,337,377,55126.3,146.22,9650.29,4.17
37be5a7c751166fbc5f8ccba4119e043,sao paulo,sp,269,278,54735.55,196.89,6021.21,4.32
17e34d8224d27a541263c4c64b11a56b,riberao preto,sp,247,260,54440.28,209.39,5090.21,4.2
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,sp,325,334,54435.66,162.98,7767.09,3.98
25c5c91f63607446a97b143d2d535d31,itauna,mg,156,266,54208.78,203.79,6945.92,3.73
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,sp,382,420,53710.3,127.88,7452.64,4.17
ceaec5548eefc6e23e6607c5435102e7,sao paulo,sp,198,206,51478.18,249.89,6175.55,4.2
f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,sp,113,118,51232.78,434.18,4134.18,4.28
e882b2a25a10b9c057cc49695f222c19,teresopolis,rj,57,58,51057.54,880.3,2856.22,4.59
2bf6a2c1e71bbd29a4ad64e6d3c3629f,nova friburgo,rj,30,31,50628.9,1633.19,1000.59,4.19
f8db351d8c4c4c22c6835c19a46f01b0,salto,sp,659,714,50082.6,70.14,12404.42,4.25
b2ba3715d723d245138f291a6fe42594,sao paulo,sp,323,348,49172.38,141.3,6261.07,4.22
17f51e7198701186712e53a39c564617,sao paulo,sp,56,61,48019.0,787.2,9793.43,4.34
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,sp,380,424,46368.39,109.36,7727.29,3.85
966cb4760537b1404caedd472cc610a5,diadema,sp,67,67,45928.26,685.5,1504.31,4.12
77530e9772f57a62c906e1c21538ab82,curitiba,pr,311,380,45528.6,119.81,8244.6,4.08
4e922959ae960d389249c378d1c939f5,jacarei,sp,411,445,45319.42,101.84,7132.66,3.9
850f4f8af5ea87287ac68de36e29107f,sao paulo,sp,186,191,45285.37,237.1,3097.35,4.29
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,sp,346,365,44653.04,122.34,5443.63,4.09
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,sp,149,152,44215.17,290.89,2656.38,4.19
ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,sp,38,38,44212.5,1163.49,1311.0,4.42
eeb6de78f79159600292e314a77cbd18,lages,sc,82,83,43510.84,524.23,2996.05,4.42
c3cfdc648177fdbbbb35635a37472c53,curitiba,pr,278,307,43048.18,140.22,6079.63,4.45
4d6d651bd7684af3fffabd5f08d12e5a,jau,sp,363,389,42999.0,110.54,7786.76,4.2
b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,sp,33,36,42829.0,1189.69,920.93,4.03
e9779976487b77c6d4ac45f75ec7afe9,praia grande,sp,645,738,42229.69,57.22,9981.61,4.2
17a053fcb14bd219540cbde0df490be0,mogi guacu,sp,124,148,40353.24,272.66,8761.17,4.23
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,sp,524,525,39926.39,76.05,9058.06,4.14
834f3294fba9f932f56edc879193f925,araraquara,sp,66,66,39907.5,604.66,4299.92,4.55
712e6ed8aa4aa1fa65dab41fed5737e4,videira,sc,77,85,39385.0,463.35,6764.82,3.46
634964b17796e64304cadf1ad3050fb7,rio de janeiro,rj,265,323,39114.1,121.1,5900.0,3.87
2eb70248d66e0e3ef83659f71b244378,campinas,sp,187,197,38990.72,197.92,3056.01,2.81
391fc6631aebcf3004804e51b40bcf1e,ibitinga,sp,513,592,38559.07,65.13,9843.83,4.01
