customer_state,order_month,distinct_active_customers,order_count,total_customer_spend
sp,2018-09,1,1,166.46
ac,2018-08,3,3,604.52
al,2018-08,16,16,2913.71
am,2018-08,4,4,512.5
ap,2018-08,2,2,257.4
ba,2018-08,164,164,26896.02
ce,2018-08,55,55,11881.57
df,2018-08,144,144,23497.26
es,2018-08,103,104,19431.45
go,2018-08,117,117,21204.65
ma,2018-08,30,30,5325.36
mg,2018-08,700,703,114031.81
ms,2018-08,35,35,6551.94
mt,2018-08,40,40,5783.76
pa,2018-08,43,43,10965.9
pb,2018-08,29,29,9237.03
pe,2018-08,85,85,15478.29
pi,2018-08,21,21,3979.84
pr,2018-08,324,329,46900.5
rj,2018-08,732,737,112570.83
rn,2018-08,20,20,5993.75
ro,2018-08,8,8,3236.63
rs,2018-08,290,295,52001.27
sc,2018-08,202,203,38389.2
se,2018-08,23,23,5600.79
sp,2018-08,3184,3205,452592.66
to,2018-08,13,13,2665.51
ac,2018-07,4,4,1769.95
al,2018-07,23,23,4825.2
am,2018-07,18,18,2598.41
ap,2018-07,6,6,1613.63
ba,2018-07,246,249,50741.45
ce,2018-07,85,86,16845.13
df,2018-07,163,166,27296.87
es,2018-07,122,123,33688.27
go,2018-07,110,114,24565.38
ma,2018-07,40,40,8361.39
mg,2018-07,643,651,110406.99
ms,2018-07,49,49,8295.34
mt,2018-07,47,47,12645.68
pa,2018-07,57,57,15851.64
pb,2018-07,51,52,20455.11
pe,2018-07,135,137,30325.35
pi,2018-07,32,32,8471.11
pr,2018-07,315,317,54188.18
rj,2018-07,706,715,120833.99
rn,2018-07,29,29,9679.73
ro,2018-07,16,16,5249.38
rr,2018-07,5,5,1960.59
rs,2018-07,309,312,48744.43
sc,2018-07,197,198,37199.87
se,2018-07,28,28,5999.63
sp,2018-07,2733,2755,381014.93
to,2018-07,22,22,3795.09
ac,2018-06,3,3,597.26
al,2018-06,24,24,4852.93
am,2018-06,7,7,1211.14
ap,2018-06,2,2,247.92
ba,2018-06,197,201,42439.22
ce,2018-06,74,74,20097.45
df,2018-06,150,150,23708.66
es,2018-06,124,124,20717.78
go,2018-06,105,105,17381.31
ma,2018-06,42,42,7964.57
mg,2018-06,705,714,125358.97
ms,2018-06,48,49,10765.75
mt,2018-06,58,58,13008.55
pa,2018-06,54,54,11950.55
pb,2018-06,28,28,14221.13
pe,2018-06,94,94,18534.13
pi,2018-06,29,29,5999.96
pr,2018-06,305,307,50276.19
rj,2018-06,711,715,121975.88
rn,2018-06,36,36,8490.83
ro,2018-06,11,11,2418.97
rr,2018-06,5,5,1642.41
rs,2018-06,305,305,53302.17
sc,2018-06,203,205,39055.27
se,2018-06,28,28,5091.96
sp,2018-06,2745,2761,394922.03
to,2018-06,18,18,4987.03
ac,2018-05,2,2,1501.42
al,2018-05,17,19,4393.1
am,2018-05,9,9,2192.48
ap,2018-05,6,6,1189.93
ba,2018-05,241,241,43401.52
ce,2018-05,74,74,15170.22
df,2018-05,142,144,29198.37
es,2018-05,132,134,22420.84
go,2018-05,139,139,27962.63
ma,2018-05,32,32,8589.54
mg,2018-05,755,758,120674.56
ms,2018-05,44,44,11059.73
mt,2018-05,66,67,14841.86
pa,2018-05,40,40,9160.55
pb,2018-05,27,29,5909.59
pe,2018-05,105,106,16788.28
pi,2018-05,31,31,8647.63
pr,2018-05,310,311,54483.62
rj,2018-05,824,832,146927.67
