seller_id,seller_city,seller_state,total_items_sold,total_orders,total_revenue,total_freight,late_orders,avg_review_score,freight_share_ratio,late_delivery_ratio,on_time_delivery_ratio,seller_activity_tier,review_rating_tier,seller_trust_score,seller_risk_level
3442f8959a84dea7ee197c632cb2df15,campinas,sp,3,3,218.70000000000002,27.9,1,3.0,0.1131,0.3333,0.6667,Low Volume,Fair,63.34,Moderate Risk
d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,sp,41,40,11703.07,1438.73,1,4.56,0.1095,0.025,0.975,High Volume,Excellent,94.35,Low Risk
ce3ad9de960102d0677a81f5d0bb7b2d,rio de janeiro,rj,1,1,158.0,16.21,0,5.0,0.093,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
c0f3eea2e14555b6faeea3dd58c1b1c3,sao paulo,sp,1,1,79.99,15.66,0,5.0,0.1637,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,sp,1,1,167.99,31.93,1,1.0,0.1597,1.0,0.0,Low Volume,Poor,10.0,High Risk
c240c4061717ac1806ae6ee72be3533b,rio de janeiro,rj,1,1,59.9,13.99,0,4.0,0.1893,0.0,1.0,Low Volume,Good,90.0,Low Risk
e49c26c3edfa46d227d5121a6b6e4d37,brejao,pe,36,35,3654.25,1175.46,0,4.42,0.2434,0.0,1.0,High Volume,Excellent,94.2,Low Risk
1b938a7ec6ac5061a66a3766e0e75f90,penapolis,sp,33,30,3987.6,910.23,0,4.24,0.1858,0.0,1.0,High Volume,Excellent,92.4,Low Risk
768a86e36ad6aae3d03ee3c6433d61df,sao paulo,sp,17,17,587.46,180.24,2,4.65,0.2348,0.1176,0.8824,High Volume,Excellent,90.62,Low Risk
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,pr,192,187,74004.62,5256.98,12,4.28,0.0663,0.0642,0.9358,High Volume,Excellent,89.59,Low Risk
8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,go,2,2,138.0,44.37,0,3.0,0.2433,0.0,1.0,Low Volume,Fair,80.0,Moderate Risk
a7a9b880c49781da66651ccf4ba9ac38,itirapina,sp,4,3,307.6,65.47,0,3.75,0.1755,0.0,1.0,Low Volume,Good,87.5,Low Risk
8bd0f31cf0a614c658f6763bd02dea69,sao paulo,sp,35,33,4455.34,967.98,1,4.21,0.1785,0.0303,0.9697,High Volume,Excellent,90.58,Low Risk
05a48cc8859962767935ab9087417fbb,sao paulo,sp,1,1,42.9,16.49,0,5.0,0.2777,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
7b8e8ec35bad4b0ef7e3963650b0a87b,tubarao,sc,5,5,2244.2799999999997,372.02,1,4.8,0.1422,0.2,0.8,Mid Volume,Excellent,88.0,Low Risk
1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,ba,1,1,2749.0,69.74,0,1.0,0.0247,0.0,1.0,Low Volume,Poor,60.0,High Risk
166e8f1381e09651983c38b1f6f91c11,imbituba,sc,2,2,78.8,30.2,0,5.0,0.2771,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
e38db885400cd35c71dfd162f2c1dbcf,brasilia,df,32,30,2066.8,670.75,3,4.5,0.245,0.1,0.9,High Volume,Excellent,90.0,Low Risk
