purchase_hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,328,306,397,355,426,315,267
1,134,158,179,167,216,175,141
2,66,80,81,75,72,67,69
3,36,28,33,39,49,43,44
4,21,29,33,31,40,25,27
5,22,24,27,28,36,24,27
6,69,71,93,85,97,53,34
7,160,223,211,220,206,106,105
8,479,522,517,502,493,249,205
9,783,864,829,758,768,434,349
10,1035,967,1042,984,956,662,531
11,1078,1056,1062,960,990,711,721
12,971,898,919,983,855,691,678
13,1027,1045,1029,986,1002,706,723
14,1096,1124,1050,977,961,677,684
15,1079,1047,983,928,979,722,716
16,1094,1081,1040,1077,974,697,712
17,992,967,967,909,817,701,797
18,928,877,852,784,723,710,895
19,945,924,848,826,784,756,899
20,1027,988,904,839,738,730,967
21,1118,1027,963,840,726,654,889
22,991,965,878,857,702,550,873
23,717,692,615,551,512,429,607
