purchase_day_of_week,purchase_day_number,purchase_hour,order_count,revenue,average_order_value
Monday,0,0,328,48632.14,148.26871951219513
Monday,0,1,134,18102.83,135.09574626865674
Monday,0,2,66,8007.15,121.32045454545454
Monday,0,3,36,6848.7,190.24166666666667
Monday,0,4,21,2138.02,101.8104761904762
Monday,0,5,22,2915.84,132.5381818181818
Monday,0,6,69,7554.34,109.48318840579711
Monday,0,7,160,21839.84,136.499
Monday,0,8,479,75728.33,158.0967223382046
Monday,0,9,783,133717.71,170.7761302681992
Monday,0,10,1035,164483.7,158.92144927536233
Monday,0,11,1078,174583.57,161.95136363636365
Monday,0,12,971,158806.61,163.54954685890831
Monday,0,13,1027,164088.24,159.7743330087634
Monday,0,14,1096,182390.45,166.41464416058395
Monday,0,15,1079,176517.74,163.59382761816497
Monday,0,16,1094,175954.63,160.836042047532
Monday,0,17,992,158050.35,159.3249495967742
Monday,0,18,928,147894.01,159.3685452586207
Monday,0,19,945,158628.5,167.86084656084657
Monday,0,20,1027,167668.44,163.26040895813048
Monday,0,21,1118,179942.31,160.9501878354204
Monday,0,22,991,170609.01,172.1584359233098
Monday,0,23,717,117355.51,163.6757461645746
Tuesday,1,0,306,48207.45,157.5406862745098
Tuesday,1,1,158,24007.65,151.94715189873418
Tuesday,1,2,80,9872.94,123.41175000000001
Tuesday,1,3,28,5766.0199999999995,205.9292857142857
Tuesday,1,4,29,4261.12,146.9351724137931
Tuesday,1,5,24,2484.91,103.53791666666666
Tuesday,1,6,71,9440.9,132.97042253521127
Tuesday,1,7,223,30433.23,136.47188340807173
Tuesday,1,8,522,74394.34,142.51789272030652
Tuesday,1,9,864,145074.68,167.91050925925924
Tuesday,1,10,967,159230.97,164.6649120992761
Tuesday,1,11,1056,166978.59,158.12366477272727
Tuesday,1,12,898,145059.11000000002,161.53575723830735
Tuesday,1,13,1045,166587.7,159.41406698564595
Tuesday,1,14,1124,187921.29,167.18975978647688
Tuesday,1,15,1047,162929.88,155.6159312320917
Tuesday,1,16,1081,176443.45,163.22243293246996
Tuesday,1,17,967,158300.41,163.70259565667013
Tuesday,1,18,877,141374.54,161.20244013683012
Tuesday,1,19,924,145684.83,157.66756493506492
Tuesday,1,20,988,166249.21,168.26843117408907
Tuesday,1,21,1027,165564.83,161.21210321324244
Tuesday,1,22,965,156997.21,162.69140932642486
Tuesday,1,23,692,107477.77,155.31469653179192
Wednesday,2,0,397,65396.56,164.72685138539043
Wednesday,2,1,179,25958.21,145.01793296089386
Wednesday,2,2,81,10306.86,127.24518518518519
Wednesday,2,3,33,4443.78,134.66
Wednesday,2,4,33,3377.5,102.34848484848484
Wednesday,2,5,27,3150.76,116.69481481481482
Wednesday,2,6,93,11705.25,125.86290322580645
Wednesday,2,7,211,32359.82,153.3640758293839
Wednesday,2,8,517,83027.23,160.59425531914894
Wednesday,2,9,829,144428.34,174.2199517490953
Wednesday,2,10,1042,172449.35,165.49841650671786
Wednesday,2,11,1062,168592.2,158.7497175141243
Wednesday,2,12,919,144798.15,157.56055495103374
Wednesday,2,13,1029,161233.11,156.68912536443148
Wednesday,2,14,1050,178486.38999999998,169.9870380952381
Wednesday,2,15,983,159620.54,162.38101729399799
Wednesday,2,16,1040,177156.97,170.3432403846154
Wednesday,2,17,967,157780.54,163.16498448810756
Wednesday,2,18,852,158587.74,186.13584507042253
Wednesday,2,19,848,131257.76,154.78509433962265
Wednesday,2,20,904,136209.9,150.67466814159292
Wednesday,2,21,963,146214.68,151.83248182762202
Wednesday,2,22,878,131370.59,149.62481776765375
Wednesday,2,23,615,85202.43,138.54053658536583
Thursday,3,0,355,57775.64,162.74828169014086
Thursday,3,1,167,22298.39,133.52329341317366
Thursday,3,2,75,10521.75,140.29
Thursday,3,3,39,5400.55,138.47564102564104
