date,order_count,daily_revenue,order_count_7d_ma,order_count_30d_ma,revenue_7d_ma,revenue_30d_ma,cumulative_orders,cumulative_revenue
2016-09-04,1,136.23,1.0,1.0,136.23,136.23,1,136.23
2016-09-05,1,75.06,1.0,1.0,105.64,105.64,2,211.29
2016-09-06,0,0.0,0.67,0.67,70.43,70.43,2,211.29
2016-09-07,0,0.0,0.5,0.5,52.82,52.82,2,211.29
2016-09-08,0,0.0,0.4,0.4,42.26,42.26,2,211.29
2016-09-09,0,0.0,0.33,0.33,35.21,35.21,2,211.29
2016-09-10,0,0.0,0.29,0.29,30.18,30.18,2,211.29
2016-09-11,0,0.0,0.14,0.25,10.72,26.41,2,211.29
2016-09-12,0,0.0,0.0,0.22,0.0,23.48,2,211.29
2016-09-13,1,40.95,0.14,0.3,5.85,25.22,3,252.24
2016-09-14,0,0.0,0.14,0.27,5.85,22.93,3,252.24
2016-09-15,1,0.0,0.29,0.33,5.85,21.02,4,252.24
2016-09-16,0,0.0,0.29,0.31,5.85,19.4,4,252.24
2016-09-17,0,0.0,0.29,0.29,5.85,18.02,4,252.24
2016-09-18,0,0.0,0.29,0.27,5.85,16.82,4,252.24
2016-09-19,0,0.0,0.29,0.25,5.85,15.76,4,252.24
2016-09-20,0,0.0,0.14,0.24,0.0,14.84,4,252.24
2016-09-21,0,0.0,0.14,0.22,0.0,14.01,4,252.24
2016-09-22,0,0.0,0.0,0.21,0.0,13.28,4,252.24
2016-09-23,0,0.0,0.0,0.2,0.0,12.61,4,252.24
2016-09-24,0,0.0,0.0,0.19,0.0,12.01,4,252.24
2016-09-25,0,0.0,0.0,0.18,0.0,11.47,4,252.24
2016-09-26,0,0.0,0.0,0.17,0.0,10.97,4,252.24
2016-09-27,0,0.0,0.0,0.17,0.0,10.51,4,252.24
2016-09-28,0,0.0,0.0,0.16,0.0,10.09,4,252.24
2016-09-29,0,0.0,0.0,0.15,0.0,9.7,4,252.24
2016-09-30,0,0.0,0.0,0.15,0.0,9.34,4,252.24
2016-10-01,0,0.0,0.0,0.14,0.0,9.01,4,252.24
2016-10-02,1,109.34,0.14,0.17,15.62,12.47,5,361.58
2016-10-03,8,595.14,1.29,0.43,100.64,31.89,13,956.72
2016-10-04,63,11914.65,10.29,2.5,1802.73,424.5,76,12871.37
2016-10-05,47,10212.22,17.0,4.03,3261.62,762.41,123,23083.59
2016-10-06,51,9398.61,24.29,5.73,4604.28,1075.7,174,32482.2
2016-10-07,46,8255.19,30.86,7.27,5783.59,1350.87,220,40737.39
2016-10-08,42,9716.130000000001,36.86,8.67,7171.61,1674.74,262,50453.52
2016-10-09,26,4152.11,40.43,9.53,7749.15,1813.14,288,54605.63
2016-10-10,39,4675.1,44.86,10.83,8332.0,1968.98,327,59280.73
2016-10-11,0,0.0,35.86,10.83,6629.91,1968.98,327,59280.73
2016-10-12,0,0.0,29.14,10.83,5171.02,1968.98,327,59280.73
