customer_state,unique_customers,total_orders,total_revenue,revenue_per_customer
sp,39155,40500,5770266.19,147.37
rj,11917,12350,2055690.45,172.5
mg,11001,11354,1819277.61,165.37
rs,5168,5345,861802.4,166.76
pr,4769,4923,781919.55,163.96
sc,3449,3546,595208.4,172.57
ba,3158,3256,591270.6,187.23
df,2019,2080,346146.17,171.44
go,1895,1957,334294.22,176.41
es,1928,1995,317682.65,164.77
pe,1551,1593,309074.59,199.27
ce,1258,1279,266463.97,211.82
pa,922,946,212027.55,229.96
mt,856,886,181441.72,211.96
ma,700,717,147807.29,211.15
pb,504,517,137834.65,273.48
ms,681,701,134421.54,197.39
pi,464,476,105272.17,226.88
rn,464,474,100728.3,217.09
al,387,397,94195.79,243.4
se,329,335,70289.13,213.64
to,267,274,60007.37,224.75
ro,231,243,56975.7,246.65
am,140,145,27596.18,197.12
ac,76,80,19586.25,257.71
ap,66,67,16141.81,244.57
rr,40,41,9039.52,225.99
